Yr,No_of_deaths,Crude_death_r,Stand_death_r
1986,25912,4.7,10.5
1987,26916,4.8,10.6
1988,27659,4.9,10.6
1989,28745,5.1,10.7
1990,29136,5.2,10.8
1991,28429,5,10.1
1992,30550,5.3,10.6
1993,30571,5.2,10.2
1994,29905,5,9.5
1995,31468,5.1,9.4
1996,32176,5,9.2
1997,31738,4.9,8.9
1998,32847,5,9
1999,33258,5,8.9
2000,33758,5.1,8.7
2001,33378,5,8.1
2002,34267,5.1,8
2003,36971,5.5,8.4
2004,36918,5.4,8.1
2005,38830,5.7,8.2
2006,37457,5.5,7.5
2007,39476,5.7,7.6
2008,41796,6,7.8
2009,41175,5.9,7.3
2010,42194,6,7.3
2011,42346,6,7
2012,43917,6.1,6.9
2013,43397,6,6.6
2014,45087,6.2,6.6
2015,46108,6.3,6.5
2016,46905,6.4,6.4
